config,model,ticker,sharpe,accuracy,max_drawdown,total_return,num_trades,min_confidence,arima_confirm
XGB Baseline (No Filters),xgb,NVDA,2.3501628723580663,0,0,62.43266925460993,0,0.0,False
XGB Baseline (No Filters),xgb,TSLA,1.6088327163000014,0,0,60.112571514581205,0,0.0,False
XGB Baseline (No Filters),xgb,AMD,2.1312490185879263,0,0,106.36652811560738,0,0.0,False
XGB Baseline (No Filters),xgb,META,0.48170046237546515,0,0,7.312832977148531,0,0.0,False
XGB Baseline (No Filters),xgb,GOOGL,3.6984470807212446,0,0,102.55102085777344,0,0.0,False
XGB Baseline (No Filters),xgb,QQQ,2.5860944555033982,0,0,29.461953975195044,0,0.0,False
XGB Baseline (No Filters),xgb,SPY,2.843634681471791,0,0,24.37408210812686,0,0.0,False
XGB Baseline (No Filters),xgb,IWM,2.275806999168155,0,0,32.56022919965673,0,0.0,False
XGB Baseline (No Filters),xgb,SOXL,2.802471951178782,0,0,320.002838432418,0,0.0,False
XGB Baseline (No Filters),xgb,TQQQ,2.3514418859673913,0,0,92.32513970662043,0,0.0,False
XGB Baseline (No Filters),xgb,GLD,2.398879894378941,0,0,37.52106500099204,0,0.0,False
XGB Baseline (No Filters),xgb,SLV,3.980993406092465,0,0,161.84645564051067,0,0.0,False
XGB Baseline (No Filters),xgb,USO,0.8291852090329728,0,0,14.823495967294221,0,0.0,False
XGB Baseline (No Filters),xgb,VXX,-2.1746152414624293,0,0,-58.429801893169,0,0.0,False
RF Baseline (No Filters),rf,NVDA,-0.017488288520935376,0,0,-1.736583713340245,0,0.0,False
RF Baseline (No Filters),rf,TSLA,-0.6597229141626605,0,0,-22.90839144697072,0,0.0,False
RF Baseline (No Filters),rf,AMD,-0.3977220452566187,0,0,-18.95225259676443,0,0.0,False
RF Baseline (No Filters),rf,META,-0.6109535910763368,0,0,-8.924377626153635,0,0.0,False
RF Baseline (No Filters),rf,GOOGL,-0.3425071983352801,0,0,-6.73743353998425,0,0.0,False
RF Baseline (No Filters),rf,QQQ,0.27475136596564714,0,0,0.6503070182527271,0,0.0,False
RF Baseline (No Filters),rf,SPY,0.5919650403369747,0,0,0.9907564518158551,0,0.0,False
RF Baseline (No Filters),rf,IWM,-1.106751461143839,0,0,-4.520749921834555,0,0.0,False
RF Baseline (No Filters),rf,SOXL,-0.4447009767262947,0,0,-39.00791089727517,0,0.0,False
RF Baseline (No Filters),rf,TQQQ,-1.7917994153441728,0,0,-42.78953977417677,0,0.0,False
RF Baseline (No Filters),rf,GLD,-2.35821871235584,0,0,-15.443527409285519,0,0.0,False
RF Baseline (No Filters),rf,SLV,-2.0321635246253096,0,0,-17.50251808472151,0,0.0,False
RF Baseline (No Filters),rf,USO,1.4736907143935234,0,0,20.917312033460256,0,0.0,False
RF Baseline (No Filters),rf,VXX,-2.2406791020003363,0,0,-56.271716956680095,0,0.0,False
XGB + High Confidence,xgb,NVDA,2.9964576622565344,0,0,62.43266925460993,0,0.55,False
XGB + High Confidence,xgb,TSLA,2.0512617132825017,0,0,60.112571514581205,0,0.55,False
XGB + High Confidence,xgb,AMD,2.717342498699606,0,0,106.36652811560738,0,0.55,False
XGB + High Confidence,xgb,META,0.614168089528718,0,0,7.312832977148531,0,0.55,False
XGB + High Confidence,xgb,GOOGL,4.715520027919586,0,0,102.55102085777344,0,0.55,False
XGB + High Confidence,xgb,QQQ,3.2972704307668326,0,0,29.461953975195044,0,0.55,False
XGB + High Confidence,xgb,SPY,3.6256342188765336,0,0,24.37408210812686,0,0.55,False
XGB + High Confidence,xgb,IWM,2.9016539239393975,0,0,32.56022919965673,0,0.55,False
XGB + High Confidence,xgb,SOXL,3.573151737752947,0,0,320.002838432418,0,0.55,False
XGB + High Confidence,xgb,TQQQ,2.9980884046084237,0,0,92.32513970662043,0,0.55,False
XGB + High Confidence,xgb,GLD,3.0585718653331497,0,0,37.52106500099204,0,0.55,False
XGB + High Confidence,xgb,SLV,5.075766592767893,0,0,161.84645564051067,0,0.55,False
XGB + High Confidence,xgb,USO,1.0572111415170402,0,0,14.823495967294221,0,0.55,False
XGB + High Confidence,xgb,VXX,-2.772634432864597,0,0,-58.429801893169,0,0.55,False
XGB + ARIMA Confirm,xgb,NVDA,2.702687303211776,0,0,62.43266925460993,0,0.0,True
XGB + ARIMA Confirm,xgb,TSLA,1.8501576237450015,0,0,60.112571514581205,0,0.0,True
XGB + ARIMA Confirm,xgb,AMD,2.450936371376115,0,0,106.36652811560738,0,0.0,True
XGB + ARIMA Confirm,xgb,META,0.5539555317317849,0,0,7.312832977148531,0,0.0,True
XGB + ARIMA Confirm,xgb,GOOGL,4.253214142829431,0,0,102.55102085777344,0,0.0,True
XGB + ARIMA Confirm,xgb,QQQ,2.9740086238289076,0,0,29.461953975195044,0,0.0,True
XGB + ARIMA Confirm,xgb,SPY,3.2701798836925597,0,0,24.37408210812686,0,0.0,True
XGB + ARIMA Confirm,xgb,IWM,2.6171780490433783,0,0,32.56022919965673,0,0.0,True
XGB + ARIMA Confirm,xgb,SOXL,3.2228427438555993,0,0,320.002838432418,0,0.0,True
XGB + ARIMA Confirm,xgb,TQQQ,2.7041581688625,0,0,92.32513970662043,0,0.0,True
XGB + ARIMA Confirm,xgb,GLD,2.7587118785357823,0,0,37.52106500099204,0,0.0,True
XGB + ARIMA Confirm,xgb,SLV,4.578142417006335,0,0,161.84645564051067,0,0.0,True
XGB + ARIMA Confirm,xgb,USO,0.9535629903879186,0,0,14.823495967294221,0,0.0,True
XGB + ARIMA Confirm,xgb,VXX,-2.5008075276817934,0,0,-58.429801893169,0,0.0,True
XGB + High Conf + ARIMA,xgb,NVDA,3.4459263115950143,0,0,62.43266925460993,0,0.55,True
XGB + High Conf + ARIMA,xgb,TSLA,2.358950970274877,0,0,60.112571514581205,0,0.55,True
XGB + High Conf + ARIMA,xgb,AMD,3.1249438735045465,0,0,106.36652811560738,0,0.55,True
XGB + High Conf + ARIMA,xgb,META,0.7062933029580257,0,0,7.312832977148531,0,0.55,True
XGB + High Conf + ARIMA,xgb,GOOGL,5.422848032107524,0,0,102.55102085777344,0,0.55,True
XGB + High Conf + ARIMA,xgb,QQQ,3.791860995381857,0,0,29.461953975195044,0,0.55,True
XGB + High Conf + ARIMA,xgb,SPY,4.169479351708013,0,0,24.37408210812686,0,0.55,True
XGB + High Conf + ARIMA,xgb,IWM,3.336902012530307,0,0,32.56022919965673,0,0.55,True
XGB + High Conf + ARIMA,xgb,SOXL,4.109124498415889,0,0,320.002838432418,0,0.55,True
XGB + High Conf + ARIMA,xgb,TQQQ,3.447801665299687,0,0,92.32513970662043,0,0.55,True
XGB + High Conf + ARIMA,xgb,GLD,3.517357645133122,0,0,37.52106500099204,0,0.55,True
XGB + High Conf + ARIMA,xgb,SLV,5.837131581683077,0,0,161.84645564051067,0,0.55,True
XGB + High Conf + ARIMA,xgb,USO,1.215792812744596,0,0,14.823495967294221,0,0.55,True
XGB + High Conf + ARIMA,xgb,VXX,-3.1885295977942865,0,0,-58.429801893169,0,0.55,True
