feature,mean_abs_shap,std_abs_shap,median_abs_shap,count,stability_cv,importance_stability_score
rsi14,0.0009853302617557347,0.0006796715445039728,0.0006781434931326658,4,0.6897905919309568,1.4497153363612316
mfi14,0.0007426398879033513,0.0007465852174193568,0.00044822305790148675,4,1.0053125742102866,0.9947155000876619
t10y,0.000685625276673818,0.00046666790457940317,0.0006673260941170156,4,0.6806457119599714,1.4691931241591512
ret_10d,0.0006778552969990415,0.0008091188087532229,0.0004364077394711785,4,1.1936453286347442,0.8377697930957181
macdhist,0.000632736315310467,0.00011733661821106187,0.0006449369248002768,4,0.18544315439439868,5.392488082214185
close_position,0.0005052744527347386,0.00011430322106763209,0.0005384187679737806,4,0.22622006802239722,4.420474313980817
atr_pct_14,0.0005044821264164057,0.0003213174870557139,0.0004362945328466594,4,0.6369254136676679,1.5700425490036665
vix,0.000393744567190879,0.0003723678149817427,0.0002581946027930826,4,0.9457090865744611,1.0574076258717056
macd,0.0003813444527622778,0.00022515253179548273,0.0003644496246124618,4,0.5904177448094102,1.6937160320660838
vol_60d,0.0003577776526526577,0.00038637793880981036,0.0003325522775412537,4,1.0799387159737412,0.9259784700822922
ret_1d,0.0003531312831910327,0.0002917251436343615,0.0002538594344514422,4,0.8261096015006621,1.2104931333366162
vol_ratio_10_60,0.00032558728526055347,0.0002672244288805703,0.00027029432385461405,4,0.8207458981904718,1.218403896022796
bb_pctb,0.0003121205900242785,0.00026264989554070924,0.0002949008885479998,4,0.8415013425428898,1.188352233613973
macdsignal,0.00029063037436571904,0.00021272380535161537,0.00024332711473107338,4,0.7319393432839584,1.3662334306465154
vol_10d,0.00027370027601136826,0.0002061584341316656,0.00022281895144260488,4,0.7532269866001258,1.327621046231687
ret_5d,0.00023635289289813954,0.00011652138589031894,0.00026926131977234036,4,0.492997502427592,2.028407841978617
adx_14,0.00022573842761630658,0.0001354680232038222,0.0002351783768972382,4,0.6001105998402748,1.6663595015088213
vol_20d,0.00022041750889911782,0.00010708918441855187,0.00020429486903594807,4,0.48584699533812975,2.0582611595735827
atr_14,0.00022034278663340956,0.00012476454986080356,0.00022082175928517245,4,0.5662293364219716,1.7660688623430298
gbm_mu_60d,0.00021965528867440298,0.00014713710420537294,0.00020540075638564304,4,0.6698545939564223,1.4928613000824704
ret_20d,0.00021585350077657495,9.088533554558525e-05,0.0002354566750000231,4,0.42105101477904033,2.375009119796995
cumret_10d,0.0002140635738214769,0.0002317797870815069,0.0001638164303585654,4,1.0827614569997082,0.9235644596834496
gbm_sig_60d,0.00018736386027740082,0.0001147190073447458,0.0002164390534744598,4,0.6122792686641865,1.6332416450775906
term_spread,0.00017863870880319155,0.0001034980487221827,0.00021317303617252037,4,0.5793707837208327,1.7260104031787795
gbm_p95_ret_1d,0.0001646432101551909,0.0001661240744045257,0.00010283763913321309,4,1.0089943839648106,0.9910857938282397
daily_range,0.00015235906175803393,6.172467890279956e-05,0.00015771731705171987,4,0.4051264046297844,2.468365400457735
cumret_5d,0.00014958882911741966,0.00013757095182931854,0.00011882498802151531,4,0.9196605965899519,1.0873576661954876
gbm_prob_up_1d,0.00014038057270227,0.00012380061480363083,0.00010856655535462778,4,0.881892789155354,1.1339246814318156
bb_width,0.0001333426607743604,7.65651665707931e-05,0.00010578953515505418,4,0.5741985807554495,1.7415577702827845
oas,0.00013269134979054797,6.122775087972309e-05,0.0001285587604797911,4,0.46142985941713993,2.1671766132845427
ret_3d,0.00012543862976599485,5.213211629762781e-05,0.00011992783402092755,4,0.4155985791209615,2.4061679953649366
gbm_p05_ret_5d,0.00010870144160435302,4.708099929957967e-05,0.00012887246703030542,4,0.43312212427635627,2.3088176381448107
gbm_p05_ret_1d,9.587989734427538e-05,8.775190046884994e-05,8.18117696326226e-05,4,0.9152273093676739,1.0926247389742938
gbm_prob_up_5d,8.63988252604031e-05,7.166503596662313e-05,9.246050831279717e-05,4,0.829467712675805,1.2055924356284704
cpi,8.32289533718722e-05,7.536248010987571e-05,9.112748011830263e-05,4,0.9054839338559433,1.1043818256847102
gbm_p95_ret_5d,7.190752512542531e-05,5.8181862565465754e-05,4.662998799176421e-05,4,0.8091206374295534,1.235909645287061
cumret_3d,6.803261385357473e-05,6.180837540149989e-05,6.757551818736829e-05,4,0.9085109611476762,1.1007021849651109
high_low_ratio,6.415531379388995e-05,4.3318969630835646e-05,6.125527033873368e-05,4,0.6752202907152062,1.4809981479389207
gbm_exp_ret_1d,4.44559577772452e-05,2.486617780714396e-05,4.8447463996126316e-05,4,0.559344102577669,1.7878082478953872
regime_vix_low,3.521228427416645e-05,4.537429307672233e-05,2.2879099560668692e-05,4,1.288592717343568,0.7760403939434786
gbm_exp_ret_5d,2.2004888251103694e-05,1.817436603872836e-05,2.379529814788839e-05,4,0.8259240324847726,1.2107651075263228
unrate,1.2078544386895373e-05,8.636422372621878e-06,1.0281842833137489e-05,4,0.7150217854058616,1.3985587857751476
regime_bull,7.434323833876988e-06,1.4868647667753976e-05,0.0,4,2.0,0.5
fed_funds,2.3336297090281732e-06,4.6672594180563465e-06,0.0,4,2.0,0.5
regime_vix_medium,2.102869757436565e-06,4.20573951487313e-06,0.0,4,2.0,0.5
beta_60_spx,0.0,0.0,0.0,4,,
corr_20_spx,0.0,0.0,0.0,4,,
fund_marketcap,0.0,0.0,0.0,4,,
fund_pb,0.0,0.0,0.0,4,,
fund_pe_trailing,0.0,0.0,0.0,4,,
mkt_ret_1d,0.0,0.0,0.0,4,,
regime_bear,0.0,0.0,0.0,4,,
regime_vix_high,0.0,0.0,0.0,4,,
rel_momentum_5d,0.0,0.0,0.0,4,,
rel_strength_1d,0.0,0.0,0.0,4,,
